Field(Oe), Temperature(K), Resisitivity(Ohm), Capacitance(pF), Loss(nS), 1stHoldoff, GETDAT, CapMeas, 2ndHoldoff, Overall
65420.230, 269.9987, 59.3502731,  4.20751     ,  0.00094     , 63, 109, 1281, 282, 1735
65075.230, 270.0002, 59.3485718,  4.20758     ,  0.00096     , 31, 141, 1281, 281, 1734
64577.020, 269.9998, 59.3483467,  4.20762     ,  0.00093     , 31, 391, 1281, 328, 2031
64056.195, 269.9973, 59.3492546,  4.20772     ,  0.00098     , 31, 375, 1282, 281, 1969
63528.141, 270.0025, 59.3502731,  4.20780     ,  0.00100     , 63, 359, 1281, 266, 1969
63145.313, 269.9995, 59.3493652,  4.20783     ,  0.00082     , 47, 125, 1281, 297, 1750
62648.816, 270.0016, 59.3493652,  4.20795     ,  0.00108     , 32, 312, 1281, 266, 1907
62098.332, 269.9994, 59.3498192,  4.20803     ,  0.00106     , 62, 250, 1281, 282, 1875
61600.121, 270.0006, 59.3498192,  4.20811     ,  0.00086     , 31, 407, 1422, 265, 2125
61188.590, 270.0016, 59.3501587,  4.20815     ,  0.00092     , 32, 359, 1281, 250, 1922
60666.242, 270.0117, 59.3499336,  4.20820     ,  0.00092     , 78, 94, 1281, 313, 1766
60145.797, 270.0077, 59.3500443,  4.20829     ,  0.00092     , 46, 422, 1282, 296, 2046
59758.023, 270.0034, 59.3502731,  4.20833     ,  0.00098     , 62, 391, 1281, 172, 1906
59237.195, 270.0017, 59.3528481,  4.20841     ,  0.00095     , 31, 78, 1282, 218, 1609
58752.859, 269.9979, 59.3534126,  4.20850     ,  0.00108     , 47, 375, 1281, 235, 1938
58348.938, 269.9941, 59.3535271,  4.20854     ,  0.00096     , 79, 234, 1281, 281, 1875
57841.223, 269.9962, 59.3534126,  4.20861     ,  0.00094     , 32, 312, 1281, 282, 1907
57278.387, 269.9957, 59.3535271,  4.20872     ,  0.00098     , 62, 110, 1281, 406, 1859
56934.332, 269.9955, 59.3546600,  4.20875     ,  0.00088     , 156, 78, 1281, 235, 1750
